Insect Species	Order	Family	Subfamily	Genus	Common Name	Description	Figure Source	Genome ID	Genome Level	BUSCO
Lasius claviger	Hymenoptera	Formicidae	Formicinae	Lasius	None	Lasius claviger, or the smaller yellow ant, is a species of ant belonging to the genus Lasius, formerly a part of the genus  Acanthomyops. Described in 1862 by Roger, the species is native to the United States.	Wikipedia	None	None	None
Lasius flavus	Hymenoptera	Formicidae	Formicinae	Lasius	None	The yellow meadow ant , also known as the yellow hill ant, is a species of ant occurring in Europe , Asia, and North Africa. Populations in North America are now considered a different, related species, Lasius brevicornis.	Wikipedia	None	None	None
Lasius umbratus	Hymenoptera	Formicidae	Formicinae	Lasius	None	Lasius umbratus, colloquially known as the yellow shadow ant and yellow lawn ant, is a Palearctic species of parasitic ant distributed across Eurasia and the Maghreb region of Africa. It was once thought that this species occurred in North America as well, but comparative genomic studies indicate the Afro-Eurasian and American populations are discrete and not closely related enough to represent a single species. The North American populations are now treated as a different species, Lasius aphidicola.	Wikipedia	None	None	None
Lonchodes brevipes	Phasmatodea	Lonchodidae	Lonchodinae	Lonchodes	None	Description is currently not available	Wikipedia	None	None	None
Longipeditermes longipes	Blattodea	Termitidae	Nasutitermitinae	Longipeditermes	None	Description is currently not available	Wikipedia	None	None	None
Lyctus cavicollis	Coleoptera	Bostrichidae	Lyctinae	Lyctus	None	Lyctus cavicollis, known generally as the shiny powderpost beetle or western lyctus beetle, is a species of powder-post beetle in the family Bostrichidae. It is found in Australia, Europe and Northern Asia , and North America.	Wikipedia	None	None	None
Macrognathotermes errator	Blattodea	Termitidae	Termitinae	Macrognathotermes	None	Description is currently not available	Wikipedia	None	None	None
Macrotermes gilvus	Blattodea	Termitidae	Macrotermitinae	Macrotermes	None	Termes  gilvus Hagen, 1858	Wikipedia	None	None	None
Macrotermes malaccensis	Blattodea	Termitidae	Macrotermitinae	Macrotermes	None	Description is currently not available	Wikipedia	None	None	None
Macrotermes subhyalinus	Blattodea	Termitidae	Macrotermitinae	Macrotermes	None	Description is currently not available	Wikipedia	None	None	None
Magicicada septendecim	Hemiptera	Cicadidae	Cicadettinae	Magicicada	Pharaoh cicada or the 17-year locust	Magicicada septendecim is native to Canada and the United States and is the largest and most northern species of periodical cicada with a 17-year lifecycle.	JanetandPhil@BY-NC-ND	GCA_011326945.1	Scaffold	C:10.1%[S:9.9%,D:0.2%],F:12.7%,M:77.2%,n:1367
Marpesia chiron	Lepidoptera	Nymphalidae	Cyrestinae	Marpesia	None	Marpesia chiron, the many-banded daggerwing, is a species of daggerwings, map butterflies in the family Nymphalidae. It is found in Central America, North America, and South America.	Wikipedia	None	None	None
Marpesia petreus	Lepidoptera	Nymphalidae	Cyrestinae	Marpesia	None	Marpesia petreus, the ruddy daggerwing, is a species of butterfly belonging to the family Nymphalidae. It is found in Brazil north through Central America, Mexico, and the West Indies to southern Florida. Strays are found as far north as Arizona, Colorado, Nebraska, Kansas, and southern Texas.	Wikipedia	None	None	None
Matsumurasca onukii	Hemiptera	Cicadellidae	Typhlocybinae	Matsumurasca	None	Description is currently not available	Wikipedia	None	None	None
Mechanitis lysimnia	Lepidoptera	Nymphalidae	Danainae	Mechanitis	None	Mechanitis lysimnia, the confused tigerwing, sweet-oil tiger or lysimnia tigerwing, is a species of butterfly of the family Nymphalidae. It was described by Johan Christian Fabricius in 1793. It is found in Central and South America, from southern Mexico to Uruguay. The habitat consists of disturbed forests at altitudes up to 1,500 metres .	Wikipedia	GCA_036026155.1	Scaffold	C:82.52%[S:82.37%,D:0.15%],F:12.95%,M:3.80%,n:1367
Mechanitis polymnia	Lepidoptera	Nymphalidae	Danainae	Mechanitis	None	Mechanitis polymnia, the orange-spotted tiger clearwing or disturbed tigerwing, is a butterfly of the family Nymphalidae. It is found from Mexico to the Amazon rainforest. The wingspan is 65–75 mm. The larvae feed on Solanum species.	Wikipedia	GCA_035222055.1	Scaffold	C:79.23%[S:78.86%,D:0.37%],F:15.80%,M:4.61%,n:1367
Megachile fortis	Hymenoptera	Megachilidae	Megachilinae	Megachile	None	Megachile fortis is a species of bee in the family Megachilidae. It was described by Cresson in 1872.	Wikipedia	None	None	None
Megachile rotundata	Hymenoptera	Megachilidae	Megachilinae	Megachile	alfalfa leafcutting bee	Megachile rotundata is a European bee that has been introduced to various regions around the world. As a solitary bee species, it does not build colonies or store honey, but is a very efficient pollinator of alfalfa, carrots, other vegetables and some fruits. Because of this, farmers often use M. rotundata as a pollination aid by distributing M. rotundata prepupae around their crops. Each female will construct and provision her own nest, which is built in old trees or log tunnels.Being a leafcutter bee, these nests are lined with cut leaves. These bees feed on pollen and nectar and display sexual dimorphism. This species has been known to bite and sting, however it poses no overall danger unless it is threatened or harmed and its sting has been described as half as painful as a honey bees.	Amy Schnebelin@BY-NC	GCA_000220905.1	Scaffold	C:99.6%[S:99.5%,D:0.1%],F:0.0%,M:0.4%,n:1367
Megalopta genalis	Hymenoptera	Halictidae	Halictinae	Megalopta	None	Megalopta genalis is a species of the family Halictidae, otherwise known as the sweat bees. The bee is native to Central and South America. Its eyes have anatomical adaptations that make them 27 times more sensitive to light than diurnal bees, giving it the ability to be nocturnal.However, its eyes are not completely different from other diurnal bees, but are still apposition compound eyes. The difference therefore lies purely in adaptations to become nocturnal, increasing the success of foraging and minimizing the danger of doing so from predation.This species has served as a model organism in studies of social behavior and night vision in bees.	Carmelo López Abad@BY-NC	GCA_011865705.1	Scaffold	C:97.0%[S:95.2%,D:1.8%],F:0.3%,M:2.7%,n:1367
Megistopoda proxima	Diptera	Streblidae	Trichobiinae	Megistopoda	None	Description is currently not available	Wikipedia	None	None	None
Melipona quadrifasciata	Hymenoptera	Apidae	Apinae	Melipona	None	Melipona quadrifasciata is a species of eusocial, stingless bee of the order Hymenoptera. It is native to the southeastern coastal states of Brazil, where it is more commonly known as mandaçaia, which means beautiful guard, as there is always a bee at the narrow entrance of the nest. M. quadrifasciata constructs mud hives in the hollows of trees to create thin passages that only allow one bee to pass at a time. Because they are stingless bees, M. quadrifasciata is often used as pollinators in greenhouses, outperforming honey bees in efficiency and leading to overall larger yields of fruits that were heavier, larger, and contained more seeds.	Kahio T. Mazon@CC0	GCA_001276565.1	Scaffold	C:97.0%[S:96.9%,D:0.1%],F:1.7%,M:1.3%,n:1367
Metelasmus pseudopterus	Diptera	Streblidae	Streblinae	Metelasmus	None	Description is currently not available	Wikipedia	None	None	None
Micrapate scabrata	Coleoptera	Bostrichidae	Bostrichinae	Micrapate	None	Description is currently not available	Wikipedia	None	None	None
Micraspis discolor	Coleoptera	Coccinellidae	Coccinellinae	Micraspis	None	Micraspis discolor is a species of ladybird. It was described by Johan Christian Fabricius in 1798. It is widespread throughout Asia, North America and parts of Oceania.	Wikipedia	GCA_030674115.1	Contig	C:94.36%[S:91.51%,D:2.85%],F:0.51%,M:5.12%,n:1367
Microcerotermes crassus	Blattodea	Termitidae	Termitinae	Microcerotermes	None	Description is currently not available	Wikipedia	None	None	None
Microcerotermes dubius	Blattodea	Termitidae	Termitinae	Microcerotermes	None	Description is currently not available	Wikipedia	None	None	None
Micromalthus debilis	Coleoptera	Micromalthidae	None	Micromalthus	None	Micromalthus anansi Perkovsky, 2008	Wikipedia	None	None	None
Milviscutulus mangiferae	Hemiptera	Coccidae	None	Milviscutulus	None	Description is currently not available	Wikipedia	None	None	None
Mollitrichosiphum luchuanum	Hemiptera	Aphididae	Greenideinae	Mollitrichosiphum	None	Description is currently not available	Wikipedia	None	None	None
Mollitrichosiphum montanum	Hemiptera	Aphididae	Greenideinae	Mollitrichosiphum	None	Description is currently not available	Wikipedia	None	None	None
Mollitrichosiphum nandii	Hemiptera	Aphididae	Greenideinae	Mollitrichosiphum	None	Description is currently not available	Wikipedia	None	None	None
Mollitrichosiphum nigrofasciatum	Hemiptera	Aphididae	Greenideinae	Mollitrichosiphum	None	Description is currently not available	Wikipedia	None	None	None
Mollitrichosiphum tenuicorpus	Hemiptera	Aphididae	Greenideinae	Mollitrichosiphum	None	Description is currently not available	Wikipedia	None	None	None
Mycopsylla fici	Hemiptera	Carsidaridae	Homotominae	Mycopsylla	None	Description is currently not available	Wikipedia	None	None	None
Myzolecanium endoeucalyptus	Hemiptera	Coccidae	None	Myzolecanium	None	Description is currently not available	Wikipedia	None	None	None
Nasutitermes ephratae	Blattodea	Termitidae	Nasutitermitinae	Nasutitermes	None	Description is currently not available	Wikipedia	None	None	None
Nasutitermes longinasus	Blattodea	Termitidae	Nasutitermitinae	Nasutitermes	None	Description is currently not available	Wikipedia	None	None	None
Nasutitermes octopilis	Blattodea	Termitidae	Nasutitermitinae	Nasutitermes	None	Description is currently not available	Wikipedia	None	None	None
Nasutitermes similis	Blattodea	Termitidae	Nasutitermitinae	Nasutitermes	None	Description is currently not available	Wikipedia	None	None	None
Nasutitermes triodiae	Blattodea	Termitidae	Nasutitermitinae	Nasutitermes	None	Nasutitermes triodiae, also known as the cathedral termite, is a grass-eating species of Nasutitermitinae termite that can be found in Northern Territory, Australia. It is also sometimes referred to as the spinifex termite, since it is found in the spinifex  grasslands. Very little research has been done on the underground nature of this species.	Wikipedia	None	None	None
Necrodes surinamensis	Coleoptera	Silphidae	Silphinae	Necrodes	None	Necrodes surinamensis, the red-lined carrion beetle, is a species of carrion beetle in the family Silphidae. It is found in North America.	Wikipedia	None	None	None
Necrophila americana	Coleoptera	Silphidae	Silphinae	Necrophila	None	The American carrion beetle  is a North American beetle of the family Silphidae. It lays its eggs in, and its larvae consume, raw flesh  and fungi. The larvae and adults also consume fly larvae and the larvae of other carrion beetles that compete for the same food sources as their larvae. They prefer to live in marshy and woody habitats. Necrophila americana emerge from their larval state in the early summer. The P. ashtoni cuckoo bumble bee displays close mimicry with the American carrion beetle. They are important in forensic studies because of their tendency to thrive on large carcasses.	Wikipedia	None	None	None
Nedyus quadrimaculatus	Coleoptera	Curculionidae	Ceutorhynchinae	Nedyus	None	Nedyus quadrimaculatus is a species of weevil native to Europe.	Wikipedia	None	None	None
Neocapritermes taracua	Blattodea	Termitidae	Termitinae	Neocapritermes	None	Description is currently not available	Wikipedia	None	None	None
Neopocadius pilistriatus	Coleoptera	Nitidulidae	Nitidulinae	Neopocadius	None	Description is currently not available	Wikipedia	None	None	None
Neotermes koshunensis	Blattodea	Kalotermitidae	Neotermitinae	Neotermes	None	Description is currently not available	Wikipedia	None	None	None
Nessaea aglaura	Lepidoptera	Nymphalidae	Biblidinae	Nessaea	None	Nessaea aglaura, the common olivewing, northern nessaea or Aglaura olivewing, is a species of butterfly of the family Nymphalidae. It is found from Mexico to Panama, Ecuador, Venezuela and Colombia. It is found in evergreen tropical forest and in semi-deciduous tropical forest.	Wikipedia	None	None	None
Nicrophorus americanus	Coleoptera	Silphidae	Nicrophorinae	Nicrophorus	None	Nicrophorus americanus, also known as the American burying beetle or giant carrion beetle, is a critically endangered species of beetle endemic to North America. It belongs to the order Coleoptera and the family Silphidae. The carrion beetle in North America is carnivorous, feeds on carrion and requires carrion to breed. It is also a member of one of the few genera of beetle to exhibit parental care. The decline of the American burying beetle has been attributed to habitat loss, alteration, and degradation, and they now occur in less than 10% of their historic range.	Christopher E. Smith@	None	None	None
Nicrophorus marginatus	Coleoptera	Silphidae	Nicrophorinae	Nicrophorus	None	Nicrophorus marginatus is a burying beetle described by Johan Christian Fabricius in 1801.	Wikipedia	None	None	None
Nicrophorus orbicollis	Coleoptera	Silphidae	Nicrophorinae	Nicrophorus	None	Nicrophorus orbicollis is a nearctic burying beetle first described by Thomas Say in 1825. It is a member of the genus Nicrophorus or sexton beetles, comprising the most common beetles in the family Silphidae. This species is a decomposer feeding on carcasses of small dead animals.  N. orbicollis can be used for scientific research both medically and forensically .	Wikipedia	None	None	None
