序号	记录类型	分类目	分类科	分类亚科	昆虫名称	共生体分类门	共生体分类目	共生体分类属	共生体分类级别	共生体分类阶元	共生体名称	种类	功能	功能标签	共生体序列数据	参考文献	doi号	期刊	出版年份	备注
2020	Symbiont	Diptera	Tephritidae	Dacinae	Bactrocera dorsalis	Pseudomonadota	Burkholderiales	Comamonas	Genus	Comamonas	Comamonas	Bacteria	None	None	FJ544392.1	Pyrosequencing reveals a shift in symbiotic bacteria populations across life stages of Bactrocera dorsalis	10.1038/srep09470	SCIENTIFIC REPORTS	2015	None
2021	Symbiont	Diptera	Tephritidae	Dacinae	Bactrocera dorsalis	Pseudomonadota	Burkholderiales	Comamonas	Genus	Comamonas	Comamonas terrigena	Bacteria	This group in the immature stages may be helping the insects to cope with oxidative stress by supplementing available oxygen.	Pathogen interaction	JF692613,KF785066	Pyrosequencing reveals a shift in symbiotic bacteria populations across life stages of Bactrocera dorsalis	10.1038/srep09470	SCIENTIFIC REPORTS	2015	None
2022	Symbiont	Diptera	Tephritidae	Dacinae	Bactrocera dorsalis	Pseudomonadota	Enterobacterales	Enterobacter	Genus	Enterobacter	Enterobacter aerogenes	Bacteria	None	None	FJ393309.1	Pyrosequencing reveals a shift in symbiotic bacteria populations across life stages of Bactrocera dorsalis	10.1038/srep09470	SCIENTIFIC REPORTS	2015	None
2023	Symbiont	Diptera	Tephritidae	Dacinae	Bactrocera dorsalis	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus	Bacteria	Speculatively, it is possible that their presence in the gut of the oriental fruit fly is helping the fly to boost its immune system.	Immune priming	JQ950506	Pyrosequencing reveals a shift in symbiotic bacteria populations across life stages of Bactrocera dorsalis	10.1038/srep09470	SCIENTIFIC REPORTS	2015	None
2024	Symbiont	Diptera	Tephritidae	Dacinae	Bactrocera dorsalis	Bacillota	Lactobacillales	Lactococcus	Genus	Lactococcus	Lactococcus	Bacteria	None	None	AB828413	Pyrosequencing reveals a shift in symbiotic bacteria populations across life stages of Bactrocera dorsalis	10.1038/srep09470	SCIENTIFIC REPORTS	2015	None
2025	Symbiont	Diptera	Tephritidae	Dacinae	Bactrocera dorsalis	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas indica	Bacteria	None	None	AF302795.1	Pyrosequencing reveals a shift in symbiotic bacteria populations across life stages of Bactrocera dorsalis	10.1038/srep09470	SCIENTIFIC REPORTS	2015	None
2026	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila hydei	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Genus	Spiroplasma	Spiroplasma	Bacteria	Spiroplasma protect their host against parasitoid attack. The Spiroplasma-conferred protection is partial and flies surviving a wasp attack have reduced adult longevity and fecundity	Natural enemy resistance,Fertility	None	Rapid spread of the defensive endosymbiont Spiroplasma in Drosophila hydei under high parasitoid wasp pressure	10.1093/femsec/fiu017	FEMS MICROBIOLOGY ECOLOGY	2015	None
2027	Symbiont	Hymenoptera	Braconidae	Aphidiinae	Lysiphlebus fabarum	Pseudomonadota	Enterobacterales	Candidatus Hamiltonella	Genus	Candidatus Candidatus Hamiltonella	Candidatus Hamiltonella defensa	Bacteria	symbiont provided strong protection against L. fabarum and Aphidius colemani, but there was no evidence that H. defensa-infected aphids were more resistant to the other parasitoid species	Natural enemy resistance	None	Symbiont-conferred protection against Hymenopteran parasitoids in aphids: how general is it?	10.1111/een.12161	ECOLOGICAL ENTOMOLOGY	2015	None
2028	Symbiont	Hemiptera	Cicadidae	Cicadinae	Diceroprocta semicincta	Pseudomonadota	Orbales	Frischella	Genus	Frischella perrara	Frischella perrara	Bacteria	causes the formation of a scab-like structure on the gut epithelium of its host	None	None	The Bacterium Frischella perrara Causes Scab Formation in the Gut of its Honeybee Host	10.1128/mbio.00193-15	MBIO	2015	None
2029	Symbiont	Hemiptera	Aphididae	Aphidinae	Aphis glycines	Pseudomonadota	Enterobacterales	Arsenophonus	Genus	Arsenophonus	Arsenophonus	Bacteria	Arsenophonus-infected clones on average performed significantly better than their paired uninfected isolines.	Growth and Development	None	The Endosymbiont Arsenophonus Provides a General Benefit to Soybean Aphid (Hemiptera: Aphididae) Regardless of Host Plant Resistance (Rag)	10.1093/ee/nvv031	ENVIRONMENTAL ENTOMOLOGY	2015	None
2030	Symbiont	Hemiptera	Pseudococcidae	None	Pseudococcus longispinus	Pseudomonadota	None	Candidatus Tremblaya	Genus	Candidatus Tremblaya	Candidatus Tremblaya phenacola	Bacteria	None	None	None	The link between independent acquisition of intracellular gamma-endosymbionts and concerted evolution in Tremblaya princeps	10.3389/fmicb.2015.00642	FRONTIERS IN MICROBIOLOGY	2015	None
2031	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Bemisia tabaci	Pseudomonadota	Enterobacterales	Candidatus Hamiltonella	Genus	Candidatus Candidatus Hamiltonella	Hamiltonella defensa	Bacteria	mediates whitefly–plant interactions by suppressing induced plant defences in tomato	Plant defense	None	The whitefly-associated facultative symbiont Hamiltonella defensa suppresses induced plant defences in tomato	10.1111/1365-2435.12405	FUNCTIONAL ECOLOGY	2015	None
2032	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Bemisia tabaci	Pseudomonadota	Enterobacterales	Candidatus Hamiltonella	Genus	Candidatus Candidatus Hamiltonella	Candidatus Hamiltonella defensa	Bacteria	None	None	GCA_000983015.1	Two Host Clades, Two Bacterial Arsenals: Evolution through Gene Losses in Facultative Endosymbionts	10.1093/gbe/evv030	GENOME BIOLOGY AND EVOLUTION	2015	None
2033	Symbiont	Hemiptera	Pentatomidae	Pentatominae	Palomena viridissima	Actinomycetota	Micromonosporales	Micromonospora	Genus	Micromonospora	Micromonospora palomenae sp. nov.	Bacteria	None	None	None	Two new species of the genus Micromonospora: Micromonospora palomenae sp. nov. and Micromonospora harpali sp. nov. isolated from the insects	10.1007/s10482-015-0472-9	Antonie van Leeuwenhoek	2015	None
2034	Symbiont	Coleoptera	Carabidae	Harpalinae	Harpalus sinicus	Actinomycetota	Micromonosporales	Micromonospora	Genus	Micromonospora	Micromonospora harpali sp. nov.	Bacteria	None	None	None	Two new species of the genus Micromonospora: Micromonospora palomenae sp. nov. and Micromonospora harpali sp. nov. isolated from the insects	10.1007/s10482-015-0472-9	Antonie van Leeuwenhoek	2015	None
2035	Symbiont	Coleoptera	Curculionidae	Dryophthorinae	Sitophilus oryzae	Pseudomonadota	Enterobacterales	Sodalis	Genus	Sodalis	Sodalis pierantonius	Bacteria	endosymbiont dynamics parallels numerous transcriptional changes in weevil developing adults and affects several biological processes, including metabolism and development	Growth and Development	None	Weevil endosymbiont dynamics is associated with a clamping of immunity	10.1186/s12864-015-2048-5	BMC GENOMICS	2015	None
2036	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	A specific strain of Wolbachia was observed to reduce the initiation of aggressive encounters in Drosophila males, which may achieved by influencing the production of octopamine.	None	None	Wolbachia Influences the Production of Octopamine and Affects Drosophila Male Aggression	10.1128/AEM.00573-15	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2015	None
2037	Symbiont	Coleoptera	Curculionidae	None	Platypus koryoensis	Ascomycota	Pichiales	Ambrosiozyma	Genus	Ambrosiozyma	Candida kashinagacola	Fungi	show extracelluar CM-cellulase, xylanase and avicelase activity that are responsible for degradation of wood structure	Digestive enzymes	None	Yeast Associated with the Ambrosia Beetle, Platypus koryoensis, the Pest of Oak Trees in Korea	10.5941/MYCO.2015.43.4.458	MYCOBIOLOGY	2015	None
2038	Symbiont	Coleoptera	Curculionidae	None	Platypus koryoensis	Ascomycota	Pichiales	Ambrosiozyma	Genus	Ambrosiozyma	Ambrosiozyma sp.	Fungi	show CM-cellulase activity and pectinase activity	Digestive enzymes	None	Yeast Associated with the Ambrosia Beetle, Platypus koryoensis, the Pest of Oak Trees in Korea	10.5941/MYCO.2015.43.4.458	MYCOBIOLOGY	2015	None
2039	Symbiont	Coleoptera	Curculionidae	None	Platypus koryoensis	Ascomycota	Serinales	Hyphopichia	Genus	Hyphopichia	Candida homilentoma	Fungi	show CM-cellulase activity and pectinase activity	Digestive enzymes	None	Yeast Associated with the Ambrosia Beetle, Platypus koryoensis, the Pest of Oak Trees in Korea	10.5941/MYCO.2015.43.4.458	MYCOBIOLOGY	2015	None
2040	Symbiont	Coleoptera	Curculionidae	None	Platypus koryoensis	Ascomycota	Serinales	Meyerozyma	Genus	Meyerozyma	Meyerozyma guilliermondii	Fungi	show extracelluar CM-cellulase, xylanase and avicelase activity that are responsible for degradation of wood structure	Digestive enzymes	None	Yeast Associated with the Ambrosia Beetle, Platypus koryoensis, the Pest of Oak Trees in Korea	10.5941/MYCO.2015.43.4.458	MYCOBIOLOGY	2015	None
2041	Symbiont	Hymenoptera	Siricidae	None	Sirex noctilio	Basidiomycota	Russulales	Amylostereum	Genus	Amylostereum	Amylostereum areolatum	Fungi	the fungus as an external gut for digestion of recalcitrant lignocellulosic compounds	Digestive enzymes	None	Adaptations for Symbiont-Mediated External Digestion in Sirex noctilio (Hymenoptera: Siricidae)	10.1603/AN13128	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA	2014	None
2042	Symbiont	Coleoptera	Carabidae	Harpalinae	Harpalus pensylvanicus	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus faecalis	Bacteria	E. faecalis facilitate seed consumption by H. pensylvanicus, possibly by contributing digestive enzymes to their host	Digestive enzymes	KF178438	An Indigenous Gut Bacterium, Enterococcus faecalis (Lactobacillales: Enterococcaceae), Increases Seed Consumption By Harpalus pensylvanicus (Coleoptera: Carabidae)	10.1653/024.097.0232	FLORIDA ENTOMOLOGIST	2014	None
2043	Symbiont	Hemiptera	Cicadellidae	Cicadellinae	Homalodisca vitripennis	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia ftsZ	Bacteria	likely interact with pathogen Xylella fastidiosa in the cibarium and precibarium	Pathogen interaction	KF636751	Anterior foregut microbiota of the glassy-winged sharpshooter explored using deep 16S rRNA gene sequencing from individual insects	10.1371/journal.pone.0106215	PLOS ONE	2014	None
2044	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Trialeurodes sp.	Pseudomonadota	Oceanospirillales	Candidatus Portiera	Genus	Candidatus Portiera	Candidatus Portiera	Bacteria	None	None	None	Bacterial endosymbionts in field-collected samples of Trialeurodes sp. nr. abutiloneus (Hemiptera: Aleyrodidae)	10.1016/j.resmic.2014.01.005	Research in Microbiology	2014	None
2045	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Trialeurodes sp.	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia	Bacteria	None	None	None	Bacterial endosymbionts in field-collected samples of Trialeurodes sp. nr. abutiloneus (Hemiptera: Aleyrodidae)	10.1016/j.resmic.2014.01.005	Research in Microbiology	2014	None
2046	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Trialeurodes sp.	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	None	None	None	Bacterial endosymbionts in field-collected samples of Trialeurodes sp. nr. abutiloneus (Hemiptera: Aleyrodidae)	10.1016/j.resmic.2014.01.005	Research in Microbiology	2014	None
2047	Symbiont	Hemiptera	Pentatomidae	Pentatominae	Antestiopsis thunbergii	Pseudomonadota	Enterobacterales	None	Family	Enterobacteriaceae	Enterobacteriaceae	Bacteria	None	None	AB809070	Bacterial symbionts of a devastating coffee plant pest, the stinkbug Antestiopsis thunbergii (Hemiptera: Pentatomidae)	10.1128/AEM.00554-14	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2014	None
2048	Symbiont	Hemiptera	Pentatomidae	Pentatominae	Antestiopsis thunbergii	Pseudomonadota	Enterobacterales	None	Family	Enterobacteriaceae	Enterobacteriaceae	Bacteria	None	None	AB809071	Bacterial symbionts of a devastating coffee plant pest, the stinkbug Antestiopsis thunbergii (Hemiptera: Pentatomidae)	10.1128/AEM.00554-14	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2014	None
2049	Symbiont	Hemiptera	Pentatomidae	Pentatominae	Antestiopsis thunbergii	Pseudomonadota	Rickettsiales	Rickettsia	Genus	Rickettsia	Rickettsia	Bacteria	None	None	AB809074	Bacterial symbionts of a devastating coffee plant pest, the stinkbug Antestiopsis thunbergii (Hemiptera: Pentatomidae)	10.1128/AEM.00554-14	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2014	None
2050	Symbiont	Hemiptera	Pentatomidae	Pentatominae	Antestiopsis thunbergii	Pseudomonadota	Enterobacterales	Sodalis	Genus	Sodalis	Sodalis	Bacteria	None	None	AB809072	Bacterial symbionts of a devastating coffee plant pest, the stinkbug Antestiopsis thunbergii (Hemiptera: Pentatomidae)	10.1128/AEM.00554-14	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2014	None
2051	Symbiont	Hemiptera	Pentatomidae	Pentatominae	Antestiopsis thunbergii	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Genus	Spiroplasma	Spiroplasma	Bacteria	None	None	AB809073	Bacterial symbionts of a devastating coffee plant pest, the stinkbug Antestiopsis thunbergii (Hemiptera: Pentatomidae)	10.1128/AEM.00554-14	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2014	None
2052	Symbiont	Orthoptera	Acrididae	Oedipodinae	Locusta migratoria	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella pneumoniae	Bacteria	associated with cellulolytic enzymes	Digestive enzymes	None	Cellulolytic activity and structure of symbiotic bacteria in locust guts	10.4238/2014.September.29.6	GENETICS AND MOLECULAR RESEARCH	2014	None
2053	Symbiont	Orthoptera	Pyrgomorphidae	Pyrgomorphinae	Atractomorpha sinensis	Pseudomonadota	Hyphomicrobiales	Methylobacterium	Genus	Methylobacterium	Methylobacterium sp.	Bacteria	associated with cellulolytic enzymes	Digestive enzymes	None	Cellulolytic activity and structure of symbiotic bacteria in locust guts	10.4238/2014.September.29.6	GENETICS AND MOLECULAR RESEARCH	2014	None
2054	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Bombyx mori	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus megaterium	Bacteria	producing amylase for starch degradation	Digestive enzymes	None	Characterization of amylase producing Bacillus megaterium from the gut microbiota of Silkworm Bombyx mori	None	None	2014	None
2055	Symbiont	Coleoptera	Passalidae	None	Odontotaenius disjunctus	Bacteroidota	Bacteroidales	Paludibacter	Genus	Paludibacter	Paludibacter propionicigenes	Bacteria	microbial fixation of nitrogen that is important for this beetle to subsist on woody biomass	Nitrogen fixation	JX523423-JX523605	Compartmentalized microbial composition, oxygen gradients and nitrogen fixation in the gut of Odontotaenius disjunctus	10.1038/ismej.2013.134	ISME JOURNAL	2014	None
2056	Symbiont	Coleoptera	Passalidae	None	Odontotaenius disjunctus	Bacteroidota	Bacteroidales	Paludibacter	Genus	Paludibacter	Paludibacter propionicigenes	Bacteria	plays an important role in nitrogen fixation	Nitrogen fixation	GSE40067	Compartmentalized microbial composition, oxygen gradients and nitrogen fixation in the gut of Odontotaenius disjunctus	10.1038/ismej.2013.134	ISME JOURNAL	2014	None
2057	Symbiont	Blattodea	Rhinotermitidae	Heterotermitinae	Macrotermes natalensis	Basidiomycota	Agaricales	Termitomyces	Genus	Termitomyces	Termitomyces	Fungi	rely on gut symbionts to decompose organic matter	Digestive enzymes	SRA069856 (Macrotermes natalensis genome), SRA071609 (Termitomyces genome), and SRA071613 (gut metagenomes)	Complementary symbiont contributions to plant decomposition in a fungus-farming termite	10.1073/pnas.1319718111	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2014	None
2058	Amplicon	Hymenoptera	Formicidae	Pseudomyrmecinae	Cephalotes varians	None	None	None	None	None	gut bacteria and fungi	Bacteria and Fungi	play integral roles in nutrition, digestion and defence	Digestive enzymes,Nutrient provision,Plant defense	SRP032758,SRP032816	Correlates of gut community composition across an ant species (Cephalotes varians) elucidate causes and consequences of symbiotic variability	10.1111/mec.12607	MOLECULAR ECOLOGY	2014	None
2059	Symbiont	Hemiptera	Cicadellidae	Cicadellinae	Graphocephala atropunctata	Bacteroidota	Flavobacteriales	Candidatus Karelsulcia	Genus	Candidatus Sulcia	Candidatus Sulcia muelleri strain BGSS	Bacteria	None	None	CP008986	Differential Genome Evolution Between Companion Symbionts in an Insect-Bacterial Symbiosis	10.1128/mbio.01697-14	MBIO	2014	None
2060	Symbiont	Hemiptera	Cicadellidae	Cicadellinae	Graphocephala atropunctata	Pseudomonadota	None	Candidatus Palibaumannia	Genus	Candidatus Baumannia	Candidatus Baumannia cicadellinicola strain BGSS	Bacteria	retains genes including cell envelope biogenesis, cellular replication, and stress response	None	CP008985	Differential Genome Evolution Between Companion Symbionts in an Insect-Bacterial Symbiosis	10.1128/mbio.01697-14	MBIO	2014	None
2061	Symbiont	Diptera	Glossinidae	None	Scaptomyza nigrita	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas	Bacteria	increased S. nigrita herbivory in bittercress，adult S. nigrita feeding was promoted by a P. fluorescens group strain, while larval feeding was promoted by a P. syringae group strain	Feeding habits	None	Diversity and abundance of phyllosphere bacteria are linked to insect herbivory	10.1111/mec.12657	MOLECULAR ECOLOGY	2014	None
2062	Symbiont	Hemiptera	Aphididae	Aphidinae	Sitobion miscanthi	Pseudomonadota	Moraxellales	Acinetobacter	Genus	Acinetobacter	Acinetobacter	Bacteria	None	None	None	Diversity of bacterial symbionts in populations of Sitobion miscanthi (Hemiptera: Aphididae) in China	10.1603/EN13229	ENVIRONMENTAL ENTOMOLOGY	2014	None
